,brand,km_driven,fuel,owner,selling_price
1723,BMW,7500,Diesel,First Owner,5400000
1724,BMW,8500,Diesel,First Owner,5500000
1725,Honda,7032,Petrol,First Owner,779000
1726,Skoda,11000,Petrol,First Owner,645000
1727,Volvo,2000,Diesel,First Owner,2475000
1728,Honda,60000,Petrol,Second Owner,321000
1729,Toyota,50000,Petrol,First Owner,585000
1730,Ford,70000,Diesel,First Owner,225000
1731,Honda,70000,Diesel,First Owner,500000
1732,Hyundai,90000,Diesel,Third Owner,350000
1733,Maruti,70000,Diesel,Second Owner,756000
1734,Maruti,50000,Petrol,First Owner,240000
1735,Maruti,120000,Petrol,Second Owner,80000
1736,Hyundai,5000,Petrol,First Owner,800000
1737,Tata,25000,Diesel,First Owner,1250000
1738,Mahindra,80000,Diesel,Third Owner,320000
1739,Hyundai,25000,Petrol,First Owner,509999
1740,Tata,15000,Diesel,First Owner,650000
1741,Maruti,35000,Petrol,Second Owner,210000
1742,Maruti,80000,Petrol,Second Owner,110000
1743,Tata,25000,Diesel,First Owner,665000
1744,Volkswagen,52000,Diesel,First Owner,555000
1745,Volkswagen,52000,Diesel,First Owner,560000
1746,Mahindra,80000,Diesel,First Owner,375000
1747,Maruti,77000,Diesel,Second Owner,290000
1748,Toyota,50000,Diesel,First Owner,2950000
1749,Maruti,127000,Diesel,First Owner,605000
1750,Honda,30000,Petrol,First Owner,720000
1751,Maruti,70000,Diesel,First Owner,800000
1752,Mahindra,54000,Diesel,First Owner,1325000
1753,Mitsubishi,120000,Diesel,Second Owner,625000
1754,Hyundai,116500,Diesel,First Owner,350000
1755,Toyota,145000,Diesel,Second Owner,600000
1756,Hyundai,120000,Petrol,First Owner,300000
1757,Tata,120000,Diesel,First Owner,240000
1758,Ford,80000,Diesel,First Owner,377000
1759,Maruti,140000,Petrol,First Owner,450000
1760,Hyundai,100000,Petrol,Fourth & Above Owner,160000
1761,Hyundai,100000,Petrol,First Owner,525000
1762,Toyota,168000,Diesel,Second Owner,550000
1763,Chevrolet,120000,Diesel,Third Owner,270000
1764,Toyota,145000,Diesel,Second Owner,570000
1765,Ford,90000,Diesel,Second Owner,225000
1766,Hyundai,90000,Petrol,First Owner,590000
1767,Jeep,80000,Diesel,First Owner,1675000
1768,Ford,33000,Petrol,First Owner,800000
1769,Chevrolet,13500,Petrol,First Owner,450000
1770,Tata,80000,Diesel,First Owner,300000
1771,Hyundai,20000,Petrol,First Owner,645000
1772,Maruti,58000,Diesel,First Owner,520000
1773,Hyundai,40000,Petrol,First Owner,200000
1774,Honda,30000,Petrol,First Owner,700000
1775,Maruti,50000,Petrol,Second Owner,45000
1776,Ford,73000,Diesel,First Owner,459999
1777,Maruti,90000,Diesel,Second Owner,325000
1778,Maruti,50000,Petrol,Second Owner,350000
1779,Hyundai,80000,Diesel,Third Owner,440000
1780,Hyundai,70000,Diesel,Second Owner,320000
1781,Chevrolet,41000,Petrol,First Owner,169000
1782,Volkswagen,50000,Petrol,Fourth & Above Owner,350000
1783,Ford,113226,Diesel,First Owner,350000
1784,Ford,90000,Diesel,Second Owner,310000
1785,Maruti,70000,Petrol,Third Owner,150000
1786,Mahindra,160500,Diesel,Fourth & Above Owner,420000
1787,Maruti,30000,Petrol,First Owner,685000
1788,Renault,132000,Diesel,Second Owner,560000
1789,Maruti,120000,Diesel,Third Owner,470000
1790,Hyundai,80000,Petrol,Second Owner,380000
1791,Mahindra,57000,Diesel,Second Owner,670000
1792,Maruti,5000,Petrol,First Owner,550000
1793,Hyundai,25000,Petrol,First Owner,749000
1794,Hyundai,80000,Diesel,Second Owner,899000
1795,Chevrolet,88000,Diesel,Third Owner,290000
1796,Toyota,217000,Diesel,Second Owner,869999
1797,Datsun,60000,Petrol,First Owner,350000
1798,Maruti,43000,Petrol,First Owner,500000
1799,Skoda,77000,Diesel,Second Owner,400000
1800,Renault,30000,Petrol,First Owner,260000
1801,Maruti,40000,Petrol,Second Owner,220000
1802,Chevrolet,139000,Diesel,Second Owner,190000
1803,Hyundai,80000,Petrol,First Owner,400000
1804,Chevrolet,76000,Diesel,Second Owner,170000
1805,Hyundai,3500,Petrol,First Owner,650000
1806,Maruti,62000,Petrol,Second Owner,60000
1807,Tata,110000,Petrol,Second Owner,300000
1808,Chevrolet,40000,Petrol,Second Owner,125000
1809,Tata,120000,Diesel,Second Owner,130000
1810,Mahindra,1500000,Diesel,First Owner,500000
1811,Maruti,70000,Petrol,Third Owner,170000
1812,Maruti,77000,Diesel,Second Owner,310000
1813,Chevrolet,110000,Petrol,Second Owner,130000
1814,Maruti,20000,Petrol,First Owner,465000
1815,Mahindra,90000,Diesel,Third Owner,160000
1816,Mercedes-Benz,120005,Diesel,Second Owner,800000
1817,Maruti,16830,Petrol,First Owner,260000
1818,Mahindra,70000,Diesel,First Owner,500000
1819,Renault,38000,Petrol,First Owner,325000
1820,Mahindra,80000,Diesel,First Owner,400000
1821,Toyota,50000,Diesel,First Owner,3200000
1822,Tata,50000,Diesel,First Owner,200000
1823,Mahindra,52000,Diesel,First Owner,450000
1824,Tata,50000,Diesel,First Owner,229999
1825,Hyundai,30000,Petrol,First Owner,340000
1826,Mahindra,103000,Diesel,First Owner,550000
1827,Ford,93468,Diesel,Second Owner,975000
1828,Volvo,20000,Diesel,First Owner,3800000
1829,Volkswagen,80000,Petrol,Second Owner,225000
1830,Ford,12000,Diesel,First Owner,3250000
1831,Tata,70000,Diesel,First Owner,280000
1832,Honda,4500,Petrol,First Owner,700000
1833,Tata,35000,Diesel,First Owner,259000
1834,Toyota,60000,Diesel,First Owner,3200000
1835,Mahindra,30000,Diesel,First Owner,1400000
1836,Ford,40000,Petrol,First Owner,416000
1837,Tata,70000,Diesel,First Owner,250000
1838,Tata,120000,Diesel,First Owner,210000
1839,Mahindra,120000,Diesel,Second Owner,290000
1840,Tata,90000,Diesel,First Owner,220000
1841,Tata,35000,Diesel,Second Owner,246000
1842,Maruti,30000,Petrol,First Owner,260000
1843,Hyundai,70000,Diesel,First Owner,1050000
1844,Tata,60000,Diesel,First Owner,290000
1845,Tata,70000,Diesel,First Owner,310000
1846,Hyundai,6000,Petrol,First Owner,700000
1847,Maruti,20000,Petrol,First Owner,550000
1848,Tata,70000,Diesel,First Owner,450000
1849,Honda,65000,Petrol,First Owner,773000
1850,Tata,25000,Petrol,First Owner,450000
1851,Maruti,10000,Petrol,First Owner,409999
1852,Maruti,35000,Petrol,Fourth & Above Owner,45000
1853,Nissan,80000,Petrol,Second Owner,600000
1854,Chevrolet,63000,Petrol,First Owner,250000
1855,Tata,100000,Diesel,First Owner,70000
1856,Honda,1303,Petrol,First Owner,690000
1857,Audi,31800,Diesel,First Owner,3975000
1858,Lexus,20000,Petrol,First Owner,5150000
1859,Jaguar,45000,Diesel,First Owner,3200000
1860,Jeep,17000,Petrol,First Owner,4100000
1861,Toyota,4295,Petrol,First Owner,1000000
1862,Toyota,5229,Petrol,First Owner,1000000
1863,Toyota,68089,Petrol,First Owner,2000000
1864,Maruti,23712,Diesel,First Owner,925000
1865,Honda,56494,Petrol,First Owner,550000
1866,Maruti,16589,Petrol,First Owner,430000
1867,Toyota,79328,Diesel,Second Owner,750000
1868,Honda,53201,Petrol,Second Owner,675000
1869,Maruti,25272,Petrol,First Owner,570000
1870,Maruti,53619,Diesel,First Owner,850000
1871,BMW,7500,Diesel,First Owner,5400000
1872,BMW,8500,Diesel,First Owner,5500000
1873,Honda,7032,Petrol,First Owner,779000
1874,Ford,6001,Petrol,First Owner,640000
1875,Tata,80000,Diesel,First Owner,250000
1876,Renault,12000,Diesel,First Owner,1250000
1877,Ford,25000,Petrol,First Owner,889000
1878,Hyundai,40000,Diesel,Second Owner,750000
1879,Maruti,130000,Diesel,Third Owner,320000
1880,Skoda,202000,Diesel,First Owner,600000
1881,Maruti,40000,Diesel,First Owner,1000000
1882,Maruti,70000,Petrol,Fourth & Above Owner,110000
1883,Honda,120000,Petrol,Second Owner,250000
1884,Maruti,60000,Diesel,First Owner,600000
1885,Maruti,60000,Petrol,First Owner,165000
1886,Maruti,60000,Petrol,Second Owner,118000
1887,Maruti,78000,Diesel,First Owner,700000
1888,Renault,80000,Diesel,Second Owner,585000
1889,Maruti,120000,Petrol,Fourth & Above Owner,120000
1890,Maruti,90000,Petrol,Fourth & Above Owner,65000
1891,Maruti,100000,Petrol,Second Owner,150000
1892,Maruti,70000,Petrol,Fourth & Above Owner,150000
1893,Hyundai,160000,Diesel,Third Owner,170000
1894,Mahindra,120000,Diesel,Third Owner,250000
1895,Hyundai,100000,Diesel,Third Owner,100000
1896,Maruti,60000,Diesel,Second Owner,599000
1897,Chevrolet,135000,Diesel,Third Owner,250000
1898,Maruti,90000,Petrol,First Owner,570000
1899,Volkswagen,75000,Diesel,Second Owner,440000
1900,Toyota,185000,Diesel,Second Owner,300000
1901,Nissan,71717,Petrol,Second Owner,300000
1902,Mahindra,150000,Diesel,Second Owner,500000
1903,Maruti,55000,Diesel,First Owner,660000
1904,Ford,90000,Petrol,Second Owner,256000
1905,Renault,35000,Petrol,First Owner,409999
1906,Toyota,120000,Diesel,Second Owner,1888000
1907,Hyundai,100000,LPG,Second Owner,250000
1908,Honda,40000,Petrol,Third Owner,280000
1909,Mahindra,100000,Diesel,First Owner,300000
1910,Tata,120000,Diesel,First Owner,900000
1911,Maruti,60000,Petrol,First Owner,190000
1912,Mahindra,2000,Diesel,First Owner,800000
1913,Mahindra,100000,Diesel,First Owner,450000
1914,Mahindra,110000,Diesel,First Owner,400000
1915,Tata,90000,Diesel,Second Owner,150000
1916,Tata,84321,Diesel,First Owner,200000
1917,Mahindra,177000,Diesel,First Owner,600000
1918,Tata,60000,Diesel,First Owner,175000
1919,Tata,205000,Diesel,Second Owner,99000
1920,Hyundai,70000,Petrol,Second Owner,215000
1921,Maruti,70000,Petrol,Third Owner,190000
1922,Renault,126000,Diesel,Second Owner,520000
1923,Ford,120000,Diesel,Second Owner,2280000
1924,Tata,70000,Diesel,First Owner,285000
1925,Mahindra,82000,Diesel,First Owner,660000
1926,Maruti,110000,Petrol,Third Owner,31504
1927,Maruti,45000,Petrol,Second Owner,515000
1928,Nissan,70000,Diesel,Second Owner,295000
1929,Nissan,80000,Diesel,Second Owner,700000
1930,Mahindra,45000,Diesel,First Owner,1100000
1931,Hyundai,60000,Petrol,First Owner,300000
1932,Maruti,41800,Petrol,First Owner,450000
1933,Maruti,132000,Petrol,Second Owner,135000
1934,Maruti,50000,Diesel,Second Owner,700000
1935,Ford,40000,Diesel,First Owner,250000
1936,Maruti,96000,Petrol,Second Owner,140000
1937,Mahindra,117000,Diesel,First Owner,250000
1938,Hyundai,110000,Petrol,Second Owner,210000
1939,Honda,100000,Diesel,Second Owner,420000
1940,Maruti,88700,Petrol,Third Owner,130000
1941,Nissan,70000,Petrol,Second Owner,320000
1942,Maruti,110000,Petrol,Second Owner,200000
1943,Maruti,15000,Petrol,First Owner,310000
1944,Mahindra,80000,Diesel,Second Owner,200000
1945,Maruti,50000,Petrol,First Owner,350000
1946,Hyundai,15000,Petrol,First Owner,444000
1947,Datsun,25000,Petrol,First Owner,300000
1948,Mahindra,57000,Diesel,Second Owner,225000
1949,Mahindra,75000,Diesel,First Owner,600000
1950,Maruti,26000,Petrol,First Owner,260000
1951,Hyundai,160000,Diesel,First Owner,375000
1952,Maruti,26000,Petrol,First Owner,260000
1953,Maruti,120000,Petrol,Second Owner,150000
1954,Maruti,50000,Petrol,Second Owner,110000
1955,Maruti,40000,Petrol,First Owner,225000
1956,Toyota,90000,Diesel,Third Owner,400000
1957,Maruti,120000,Petrol,Third Owner,93000
1958,Honda,28000,Petrol,First Owner,860000
1959,Maruti,50000,Diesel,First Owner,650000
1960,Maruti,90000,Diesel,First Owner,650000
1961,Hyundai,40000,Diesel,First Owner,710000
1962,Ford,113000,Diesel,First Owner,430000
1963,Maruti,188000,Diesel,Second Owner,305000
1964,Ford,100000,Diesel,First Owner,220000
1965,Tata,225000,Diesel,Third Owner,150000
1966,Mahindra,67000,Diesel,Second Owner,660000
1967,Chevrolet,70000,Diesel,Fourth & Above Owner,140000
1968,Toyota,50000,Petrol,First Owner,1100000
1969,Jaguar,60000,Diesel,First Owner,2450000
1970,Volkswagen,34000,Diesel,First Owner,625000
1971,Honda,110000,Petrol,Third Owner,198000
1972,Hyundai,71000,Petrol,Second Owner,60000
1973,Maruti,140000,Petrol,Second Owner,130000
1974,Honda,100000,Petrol,Second Owner,540000
1975,Hyundai,10000,Petrol,First Owner,550000
1976,Maruti,30000,Petrol,First Owner,475000
1977,Audi,22000,Diesel,First Owner,2825000
1978,Honda,5500,Diesel,First Owner,2125000
1979,BMW,18000,Diesel,First Owner,3350000
1980,Toyota,20000,Diesel,First Owner,1800000
1981,Hyundai,7000,Petrol,First Owner,540000
1982,Force,20000,Diesel,First Owner,910000
1983,Maruti,4875,Petrol,First Owner,484999
1984,Hyundai,2700,Diesel,First Owner,1950000
1985,Maruti,58511,Diesel,First Owner,950000
1986,Ford,105000,Diesel,First Owner,365000
1987,Mahindra,26235,Diesel,First Owner,900000
1988,Tata,26766,Diesel,First Owner,919999
1989,MG,1600,Petrol,First Owner,1900000
1990,Mercedes-Benz,46000,Diesel,First Owner,2950000
1991,Mahindra,23000,Diesel,First Owner,1075000
1992,Maruti,24522,Petrol,First Owner,600000
1993,BMW,13663,Diesel,First Owner,3200000
1994,Skoda,11000,Diesel,First Owner,2600000
1995,Maruti,63000,Diesel,First Owner,839000
1996,Volkswagen,2000,Petrol,First Owner,635000
1997,Mahindra,300000,Diesel,Third Owner,550000
1998,Mahindra,190000,Diesel,Third Owner,180000
1999,Honda,80000,Diesel,First Owner,650000
2000,Honda,80000,Petrol,Second Owner,350000
2001,Maruti,54000,Petrol,First Owner,265000
2002,Renault,30000,Petrol,First Owner,330000
2003,Maruti,5000,Petrol,First Owner,395000
2004,Mahindra,58945,Diesel,First Owner,700000
2005,Ford,90000,Diesel,First Owner,300000
2006,Toyota,375000,Diesel,First Owner,650000
2007,Maruti,160000,Diesel,Third Owner,625000
2008,Volkswagen,80000,Diesel,Second Owner,425000
2009,Maruti,50000,Petrol,Third Owner,55000
2010,Tata,80000,Diesel,Second Owner,250000
2011,Mahindra,156975,Diesel,First Owner,459999
2012,Toyota,5000,Diesel,First Owner,1594000
2013,Chevrolet,50000,Petrol,First Owner,300000
2014,Ford,27620,Diesel,First Owner,950000
2015,Mahindra,120000,Diesel,First Owner,484999
2016,Mahindra,120000,Diesel,Third Owner,161000
2017,Hyundai,58000,Petrol,First Owner,500000
2018,Nissan,50000,Petrol,First Owner,350000
2019,Maruti,40000,Petrol,First Owner,550000
2020,Honda,7800,Petrol,First Owner,850000
2021,Maruti,50000,Petrol,First Owner,240000
2022,Ford,68000,Diesel,First Owner,950000
2023,Maruti,60000,Petrol,Second Owner,423000
2024,Tata,74000,Petrol,Second Owner,90000
2025,Tata,58000,Diesel,Second Owner,350000
2026,Maruti,70000,Petrol,Third Owner,170000
2027,Ford,70000,Petrol,First Owner,450000
2028,Hyundai,110000,Petrol,Second Owner,150000
2029,Hyundai,80000,Petrol,Third Owner,75000
2030,Hyundai,80000,Diesel,First Owner,511000
2031,Maruti,59000,Diesel,First Owner,850000
2032,Tata,110000,Diesel,First Owner,250000
2033,Maruti,25000,Petrol,First Owner,420000
2034,Maruti,55000,Petrol,First Owner,180000
2035,Maruti,25000,Diesel,First Owner,400000
2036,Mahindra,300000,Diesel,First Owner,150000
2037,Ford,143200,Diesel,First Owner,500000
2038,Jeep,60000,Diesel,First Owner,1689999
2039,Nissan,120000,Diesel,First Owner,204999
2040,Maruti,145000,Diesel,Second Owner,459999
2041,Hyundai,30000,Petrol,First Owner,600000
2042,Hyundai,8000,Petrol,First Owner,585000
2043,Ford,170000,Diesel,First Owner,551000
2044,Maruti,100000,Diesel,First Owner,525000
2045,Maruti,62000,Petrol,First Owner,160000
2046,Mahindra,110000,Diesel,First Owner,825000
2047,Hyundai,137000,CNG,First Owner,127000
2048,Chevrolet,80000,Diesel,Second Owner,600000
2049,Maruti,80000,Petrol,Second Owner,65000
2050,Maruti,100000,Diesel,First Owner,550000
2051,Mahindra,120000,Diesel,First Owner,650000
2052,Maruti,24000,Diesel,First Owner,750000
2053,Mahindra,80000,Diesel,First Owner,380000
2054,Hyundai,138000,Diesel,First Owner,400000
2055,Maruti,147000,Petrol,Fourth & Above Owner,50000
2056,Mahindra,60000,Diesel,First Owner,750000
2057,Chevrolet,80000,Petrol,First Owner,150000
2058,Maruti,50000,Petrol,First Owner,245000
2059,Tata,189000,Diesel,First Owner,260000
2060,Volkswagen,90000,Diesel,Second Owner,411000
2061,Hyundai,56000,Diesel,First Owner,450000
2062,BMW,140000,Diesel,Second Owner,1300000
2063,Maruti,60000,Petrol,First Owner,351000
2064,Mahindra,130000,Diesel,First Owner,550000
2065,BMW,140000,Diesel,Second Owner,1300000
2066,Tata,189000,Diesel,First Owner,260000
2067,Volkswagen,90000,Diesel,Second Owner,411000
2068,Hyundai,56000,Diesel,First Owner,450000
2069,BMW,140000,Diesel,Second Owner,1300000
2070,Maruti,60000,Petrol,First Owner,351000
2071,Mahindra,130000,Diesel,First Owner,550000
2072,BMW,140000,Diesel,Second Owner,1300000
2073,Nissan,35000,Diesel,First Owner,750000
2074,Nissan,35000,Diesel,First Owner,800000
2075,Tata,156000,Diesel,First Owner,350000
2076,Maruti,90000,Petrol,First Owner,200000
2077,Tata,60000,Diesel,Third Owner,150000
2078,Nissan,36000,Diesel,First Owner,800000
2079,Hyundai,20000,Petrol,Second Owner,350000
2080,Tata,160000,Diesel,First Owner,350000
2081,Mahindra,185000,Diesel,First Owner,250000
2082,Tata,110000,Diesel,Second Owner,170000
2083,Renault,10800,Petrol,First Owner,395000
2084,Mahindra,120000,Diesel,First Owner,450000
2085,Maruti,15000,Petrol,First Owner,500000
2086,Tata,67500,Diesel,First Owner,200000
2087,Tata,30000,Diesel,First Owner,1200000
2088,Mahindra,50000,Diesel,First Owner,400000
2089,Mahindra,100000,Diesel,First Owner,650000
2090,Mahindra,150000,Diesel,First Owner,550000
2091,Mahindra,110000,Diesel,First Owner,1100000
2092,Maruti,30000,Petrol,First Owner,254999
2093,Maruti,60000,Petrol,First Owner,180000
2094,Mahindra,255000,Diesel,Second Owner,160000
2095,Chevrolet,120000,Diesel,Second Owner,225000
2096,Maruti,49900,Petrol,Second Owner,270000
2097,Tata,86000,Diesel,First Owner,310000
2098,Datsun,71850,Petrol,First Owner,225000
2099,Fiat,95000,Diesel,Third Owner,300000
2100,Maruti,70000,Petrol,Fourth & Above Owner,250000
2101,Hyundai,35000,Petrol,First Owner,180000
2102,Maruti,50000,Petrol,First Owner,550000
2103,Mahindra,120000,Diesel,Third Owner,300000
2104,Hyundai,145000,Diesel,First Owner,900000
2105,Tata,190000,Diesel,Third Owner,254999
2106,Mahindra,40000,Diesel,First Owner,1530000
2107,Maruti,110000,Diesel,First Owner,590000
2108,Maruti,112000,LPG,Second Owner,170000
2109,Audi,70000,Diesel,First Owner,2600000
2110,Maruti,110000,Diesel,First Owner,475000
2111,Hyundai,29000,Diesel,First Owner,700000
2112,Maruti,60000,Petrol,First Owner,376000
2113,Hyundai,120000,Petrol,Fourth & Above Owner,100000
2114,Maruti,46000,Petrol,Fourth & Above Owner,75000
2115,Mahindra,120000,Diesel,Third Owner,440000
2116,Maruti,80000,Petrol,First Owner,390000
2117,Toyota,159000,Diesel,Second Owner,725000
2118,Mahindra,110000,Diesel,Second Owner,325000
2119,Maruti,75000,Petrol,Second Owner,170000
2120,Maruti,120000,Diesel,Third Owner,215000
2121,Honda,110000,Petrol,Third Owner,350000
2122,Chevrolet,80000,Petrol,Fourth & Above Owner,80000
2123,Hyundai,80000,Petrol,Second Owner,195000
2124,Maruti,85000,Diesel,First Owner,280000
2125,Nissan,71000,Diesel,First Owner,335000
2126,Mahindra,108000,Diesel,First Owner,475000
2127,Renault,75000,Diesel,First Owner,484999
2128,Maruti,22000,Petrol,Second Owner,650000
2129,Audi,76131,Diesel,First Owner,1850000
2130,Hyundai,30000,Petrol,Second Owner,700000
2131,Audi,65000,Diesel,First Owner,3000000
2132,Mahindra,60000,Diesel,First Owner,900000
2133,Volkswagen,80000,Diesel,First Owner,350000
2134,Honda,80000,Petrol,Second Owner,285000
2135,Audi,70000,Diesel,First Owner,1850000
2136,Maruti,51777,Diesel,First Owner,750000
2137,Land,64788,Diesel,First Owner,1650000
2138,Honda,20000,Petrol,First Owner,600000
2139,Volkswagen,19000,Petrol,First Owner,565000
2140,Daewoo,46951,Petrol,First Owner,86000
2141,Datsun,19000,Petrol,First Owner,329000
2142,Ford,50000,Diesel,First Owner,650000
2143,Hyundai,60000,Diesel,First Owner,822000
2144,Renault,100000,Diesel,Second Owner,345000
2145,Maruti,10000,Petrol,First Owner,30000
2146,Maruti,50000,Diesel,Second Owner,330000
2147,Maruti,74537,Petrol,Second Owner,300000
2148,Maruti,90000,Petrol,Second Owner,200000
2149,Tata,80000,Diesel,Second Owner,200000
2150,Chevrolet,70000,Petrol,Second Owner,90000
2151,Maruti,80000,Petrol,Second Owner,200000
2152,Hyundai,35000,Diesel,First Owner,550000
2153,Chevrolet,23500,Petrol,First Owner,250000
2154,Honda,82000,Diesel,First Owner,975000
2155,Toyota,100000,Diesel,Second Owner,900000
2156,Hyundai,15000,Petrol,First Owner,610000
2157,Maruti,30000,Diesel,First Owner,620000
2158,Hyundai,30000,Petrol,First Owner,400000
2159,Maruti,11000,Petrol,First Owner,500000
2160,Datsun,140000,Petrol,First Owner,200000
2161,Tata,110000,Diesel,First Owner,360000
2162,Maruti,48000,Petrol,First Owner,252000
2163,Maruti,70000,Diesel,Second Owner,280000
2164,Maruti,70000,Petrol,Second Owner,509999
2165,Mahindra,58000,Diesel,First Owner,1050000
2166,Maruti,40000,LPG,Fourth & Above Owner,200000
2167,Maruti,90000,Petrol,Second Owner,60000
2168,Mahindra,40000,Diesel,Second Owner,320000
2169,Mahindra,110000,Diesel,First Owner,520000
2170,Tata,80000,Diesel,Second Owner,250000
2171,Maruti,60000,Diesel,First Owner,725000
2172,Mahindra,50000,Diesel,First Owner,585000
2173,Tata,25000,Petrol,First Owner,430000
2174,Maruti,100000,Diesel,Second Owner,235000
2175,Maruti,52000,Diesel,Third Owner,350000
2176,Hyundai,80000,Petrol,Third Owner,131000
2177,Honda,85000,Diesel,First Owner,450000
2178,Maruti,83000,Diesel,First Owner,750000
2179,Maruti,50000,Petrol,First Owner,200000
2180,Maruti,120000,Petrol,Fourth & Above Owner,125000
2181,Mahindra,100000,Diesel,First Owner,500000
2182,Maruti,70000,Diesel,Third Owner,380000
2183,Maruti,19000,Petrol,First Owner,128000
2184,Honda,68600,Petrol,Third Owner,250000
2185,Mahindra,60000,Diesel,First Owner,690000
2186,Mahindra,65000,Diesel,Second Owner,650000
2187,Honda,40000,Petrol,Second Owner,560000
2188,Tata,160000,Diesel,Second Owner,120000
2189,Maruti,25000,Petrol,First Owner,400000
2190,Maruti,29500,Petrol,First Owner,200000
2191,Hyundai,13887,Petrol,First Owner,950000
2192,Maruti,50000,Petrol,Second Owner,300000
2193,Renault,30000,Petrol,Second Owner,315000
2194,Maruti,100000,Petrol,First Owner,220000
2195,Chevrolet,60000,Petrol,Second Owner,130000
2196,Hyundai,60000,Diesel,Second Owner,595000
2197,Tata,120000,Diesel,First Owner,110000
2198,Ford,13500,Petrol,First Owner,680000
2199,Fiat,52000,Diesel,First Owner,280000
2200,Maruti,30000,Petrol,Second Owner,530000
2201,Hyundai,14000,Petrol,First Owner,610000
2202,Tata,90000,Diesel,Second Owner,500000
2203,Tata,50000,Diesel,First Owner,500000
2204,Mahindra,120000,Diesel,Second Owner,250000
2205,Hyundai,10000,Petrol,First Owner,325000
2206,Maruti,10000,Petrol,First Owner,550000
2207,Maruti,25000,Petrol,First Owner,720000
2208,Hyundai,20000,Petrol,First Owner,950000
2209,Maruti,60000,Diesel,First Owner,350000
2210,Hyundai,40000,Petrol,First Owner,500000
2211,Maruti,60000,Diesel,First Owner,380000
2212,Hyundai,50000,Petrol,First Owner,380000
2213,Hyundai,20000,Petrol,First Owner,900000
2214,Maruti,35000,Petrol,First Owner,295000
2215,Maruti,40000,Diesel,First Owner,640000
2216,Tata,60000,Diesel,First Owner,790000
2217,Hyundai,20000,Petrol,First Owner,625000
2218,Ford,30000,Petrol,Second Owner,604000
2219,Maruti,29000,Petrol,First Owner,315000
2220,Mahindra,17000,Diesel,First Owner,950000
2221,Maruti,50000,Petrol,First Owner,400000
2222,Hyundai,42000,Petrol,First Owner,700000
2223,Toyota,120000,Diesel,Second Owner,700000
2224,Mahindra,110000,Diesel,First Owner,260000
2225,Tata,90000,Diesel,First Owner,200000
2226,Maruti,70000,Petrol,First Owner,580000
2227,Volkswagen,66000,Diesel,Second Owner,330000
2228,Hyundai,70000,Diesel,Third Owner,400000
2229,Hyundai,5000,Petrol,First Owner,1350000
2230,Mahindra,50000,Diesel,Second Owner,250000
2231,Skoda,25000,Petrol,First Owner,725000
2232,Maruti,70000,Diesel,First Owner,300000
2233,Maruti,40000,Petrol,Second Owner,120000
2234,Mahindra,110000,Diesel,First Owner,1175000
2235,Tata,150000,Diesel,First Owner,380000
2236,Tata,45000,Diesel,First Owner,400000
2237,Tata,90000,Diesel,Third Owner,140000
2238,Tata,140000,Diesel,Second Owner,229999
2239,Ford,83000,Petrol,Second Owner,110000
2240,Volkswagen,106000,Diesel,Second Owner,550000
2241,Chevrolet,60000,Petrol,Fourth & Above Owner,150000
2242,Maruti,40000,Petrol,Second Owner,265000
2243,Hyundai,138000,Petrol,Third Owner,300000
2244,Maruti,80000,Petrol,First Owner,280000
2245,Hyundai,50000,Petrol,Second Owner,130000
2246,Chevrolet,50000,Petrol,First Owner,350000
2247,Maruti,120000,Petrol,First Owner,200000
2248,Maruti,24400,Petrol,First Owner,550000
2249,Mahindra,60000,Diesel,Second Owner,400000
2250,Maruti,120000,Petrol,Second Owner,170000
2251,Hyundai,60000,Diesel,Second Owner,600000
2252,Maruti,100000,Petrol,Second Owner,130000
2253,Hyundai,60000,CNG,Second Owner,120000
2254,Maruti,120000,Petrol,Second Owner,100000
2255,Renault,27500,Petrol,First Owner,310000
2256,Maruti,10000,Petrol,First Owner,35000
2257,Hyundai,120000,Petrol,Third Owner,200000
2258,Maruti,70000,Diesel,Second Owner,270000
2259,Hyundai,80000,Diesel,First Owner,650000
2260,Tata,120000,Petrol,First Owner,210000
2261,Hyundai,90000,Diesel,First Owner,509999
2262,Ford,70000,Diesel,First Owner,229999
2263,Renault,188000,Diesel,Second Owner,409999
2264,Chevrolet,67840,Petrol,First Owner,130000
2265,Tata,30000,Petrol,First Owner,95000
2266,Maruti,35000,Petrol,Second Owner,225000
2267,Maruti,150000,Diesel,Second Owner,256999
2268,Maruti,100000,Diesel,First Owner,775000
2269,Maruti,30000,Petrol,First Owner,420000
2270,Hyundai,70000,Petrol,First Owner,480000
2271,Toyota,149032,Diesel,First Owner,200000
2272,Mahindra,380000,Diesel,Second Owner,260000
2273,Toyota,84050,Petrol,First Owner,210000
2274,Volkswagen,15000,Petrol,First Owner,600000
2275,Ford,140000,Diesel,Second Owner,140000
2276,Maruti,120000,Petrol,Third Owner,130000
2277,Maruti,112880,Diesel,First Owner,195000
2278,Tata,135000,Diesel,Second Owner,210000
2279,Maruti,80000,Petrol,Third Owner,130000
2280,Chevrolet,128000,Petrol,Third Owner,141000
2281,Mahindra,120000,Diesel,First Owner,280000
2282,Maruti,30000,Petrol,First Owner,350000
2283,Tata,70000,Petrol,First Owner,575000
2284,Hyundai,41000,Petrol,First Owner,550000
2285,Toyota,28100,Petrol,First Owner,420000
2286,Maruti,30000,Petrol,Second Owner,120000
